                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 3.0642,                 3.0002,                 3.5981,                0.00493,                0.07143,                0.00527,                 0.0006,                 4.9779,                 5.3298,                 4.2958,             0.00055466,             0.00055466,             0.00055466
                     73,                 3.0458,                 2.9443,                 3.4648,                0.00493,                0.07143,                0.00527,                 0.0006,                 4.9779,                 5.3298,                 4.2958,             0.00056118,             0.00056118,             0.00056118
                     74,                 2.9834,                 2.7285,                 3.3944,                0.00493,                0.07143,                0.00527,                 0.0006,                 4.9779,                 5.3298,                 4.2958,             0.00056766,             0.00056766,             0.00056766
                     75,                 3.2266,                  2.966,                 3.4683,                0.00292,                0.07143,                0.00509,                0.00104,                 4.9817,                  5.338,                 4.2583,              0.0005741,              0.0005741,              0.0005741
                     76,                 2.9384,                 2.8354,                 3.4297,                0.00292,                0.07143,                0.00509,                0.00104,                 4.9817,                  5.338,                 4.2583,             0.00058051,             0.00058051,             0.00058051
                     77,                 3.0243,                 2.9269,                 3.3427,                0.00292,                0.07143,                0.00509,                0.00104,                 4.9817,                  5.338,                 4.2583,             0.00058688,             0.00058688,             0.00058688
                     78,                  3.069,                 2.8483,                 3.2943,                 0.0023,                0.08929,                 0.0073,                0.00179,                 4.9746,                 5.2979,                 4.2911,             0.00059322,             0.00059322,             0.00059322
                     79,                 3.2247,                 2.9127,                 3.3581,                 0.0023,                0.08929,                 0.0073,                0.00179,                 4.9746,                 5.2979,                 4.2911,             0.00059952,             0.00059952,             0.00059952
                     80,                 2.9896,                 2.7954,                 3.4177,                 0.0023,                0.08929,                 0.0073,                0.00179,                 4.9746,                 5.2979,                 4.2911,             0.00060578,             0.00060578,             0.00060578
                     81,                 2.8861,                 2.6877,                 3.3398,                  0.002,                0.08929,                0.01076,                0.00189,                 4.9486,                 5.0524,                 4.2358,             0.00061201,             0.00061201,             0.00061201
                     82,                 2.8394,                 2.4964,                 3.2162,                  0.002,                0.08929,                0.01076,                0.00189,                 4.9486,                 5.0524,                 4.2358,              0.0006182,              0.0006182,              0.0006182
                     83,                  3.015,                 2.7907,                 3.3486,                  0.002,                0.08929,                0.01076,                0.00189,                 4.9486,                 5.0524,                 4.2358,             0.00062436,             0.00062436,             0.00062436
                     84,                 3.1781,                 2.6228,                  3.307,                0.00148,                0.07143,                0.00282,                0.00069,                 4.8984,                 4.6591,                 4.1221,             0.00063048,             0.00063048,             0.00063048
                     85,                 2.8068,                 2.3655,                 3.2471,                0.00148,                0.07143,                0.00282,                0.00069,                 4.8984,                 4.6591,                 4.1221,             0.00063656,             0.00063656,             0.00063656
                     86,                 2.9049,                 2.7649,                 3.3522,                0.00148,                0.07143,                0.00282,                0.00069,                 4.8984,                 4.6591,                 4.1221,             0.00064261,             0.00064261,             0.00064261
                     87,                  2.879,                 2.7417,                 3.3436,                0.00148,                0.07143,                0.00282,                0.00069,                 4.8984,                 4.6591,                 4.1221,             0.00064863,             0.00064863,             0.00064863
                     88,                 3.0566,                 2.5438,                 3.3283,                 0.0111,                 0.0744,                0.00944,                0.00112,                 4.6963,                 4.4508,                 4.0927,              0.0006546,              0.0006546,              0.0006546
                     89,                 3.0209,                 2.4408,                 3.1842,                 0.0111,                 0.0744,                0.00944,                0.00112,                 4.6963,                 4.4508,                 4.0927,             0.00066054,             0.00066054,             0.00066054
                     90,                 2.7497,                 2.4482,                  3.059,                 0.0111,                 0.0744,                0.00944,                0.00112,                 4.6963,                 4.4508,                 4.0927,             0.00066645,             0.00066645,             0.00066645
                     91,                 2.7703,                 2.5671,                 3.1273,                 0.0111,                 0.0744,                0.00944,                0.00112,                 4.6963,                 4.4508,                 4.0927,             0.00067231,             0.00067231,             0.00067231
                     92,                 2.5761,                 2.3627,                 3.2968,                0.01532,                0.08036,                0.01235,                 0.0029,                 4.2745,                 4.3255,                 4.0074,             0.00067815,             0.00067815,             0.00067815
                     93,                 2.7995,                 2.2649,                 3.1374,                0.01532,                0.08036,                0.01235,                 0.0029,                 4.2745,                 4.3255,                 4.0074,             0.00068394,             0.00068394,             0.00068394
                     94,                 3.0314,                 2.4629,                 3.2143,                0.01532,                0.08036,                0.01235,                 0.0029,                 4.2745,                 4.3255,                 4.0074,              0.0006897,              0.0006897,              0.0006897
                     95,                 2.8788,                 2.5401,                 3.2174,                0.01532,                0.08036,                0.01235,                 0.0029,                 4.2745,                 4.3255,                 4.0074,             0.00069543,             0.00069543,             0.00069543
                     96,                 2.8883,                  2.575,                 3.0711,                0.01225,                0.13095,                0.02359,                0.00623,                  4.144,                 4.0296,                  3.897,             0.00070112,             0.00070112,             0.00070112
                     97,                  2.819,                 2.3689,                 3.1374,                0.01225,                0.13095,                0.02359,                0.00623,                  4.144,                 4.0296,                  3.897,             0.00070677,             0.00070677,             0.00070677
                     98,                  2.651,                 2.5098,                 3.2247,                0.01225,                0.13095,                0.02359,                0.00623,                  4.144,                 4.0296,                  3.897,             0.00071238,             0.00071238,             0.00071238
                     99,                 2.7113,                 2.5011,                 3.1039,                0.01225,                0.13095,                0.02359,                0.00623,                  4.144,                 4.0296,                  3.897,             0.00071797,             0.00071797,             0.00071797
                    100,                 2.9214,                 2.3756,                 3.0921,                 0.0102,                0.16071,                0.03743,                0.01269,                 3.8826,                 3.8263,                  3.778,             0.00072351,             0.00072351,             0.00072351
                    101,                 2.7391,                 2.4278,                 3.0904,                 0.0102,                0.16071,                0.03743,                0.01269,                 3.8826,                 3.8263,                  3.778,             0.00072902,             0.00072902,             0.00072902
                    102,                 2.9869,                 2.5311,                 3.2168,                 0.0102,                0.16071,                0.03743,                0.01269,                 3.8826,                 3.8263,                  3.778,             0.00072722,             0.00072722,             0.00072722
                    103,                 2.7271,                 2.6497,                 3.2064,                 0.0102,                0.16071,                0.03743,                0.01269,                 3.8826,                 3.8263,                  3.778,             0.00072542,             0.00072542,             0.00072542
                    104,                 2.8355,                 2.5283,                 3.2472,                0.54223,                0.02381,                0.03853,                0.02651,                 3.6776,                 3.7009,                 3.6397,             0.00072362,             0.00072362,             0.00072362
                    105,                 2.7281,                 2.4313,                 3.1533,                0.54223,                0.02381,                0.03853,                0.02651,                 3.6776,                 3.7009,                 3.6397,             0.00072182,             0.00072182,             0.00072182
                    106,                 2.7569,                 2.7889,                 2.9767,                0.54223,                0.02381,                0.03853,                0.02651,                 3.6776,                 3.7009,                 3.6397,             0.00072002,             0.00072002,             0.00072002
                    107,                 2.9561,                 2.4358,                 3.0229,                0.54223,                0.02381,                0.03853,                0.02651,                 3.6776,                 3.7009,                 3.6397,             0.00071822,             0.00071822,             0.00071822
                    108,                  2.758,                 2.5126,                 3.1643,                0.48314,                0.03571,                0.04718,                0.02739,                 3.4446,                 3.5976,                 3.5455,             0.00071642,             0.00071642,             0.00071642
                    109,                 2.7852,                 2.6186,                 3.2281,                0.48314,                0.03571,                0.04718,                0.02739,                 3.4446,                 3.5976,                 3.5455,             0.00071462,             0.00071462,             0.00071462
                    110,                 2.6014,                 2.2109,                  3.067,                0.48314,                0.03571,                0.04718,                0.02739,                 3.4446,                 3.5976,                 3.5455,             0.00071282,             0.00071282,             0.00071282
                    111,                 2.9175,                 2.4554,                 3.0297,                0.48314,                0.03571,                0.04718,                0.02739,                 3.4446,                 3.5976,                 3.5455,             0.00071102,             0.00071102,             0.00071102
                    112,                 2.6543,                  2.318,                 3.0516,                0.47836,                0.05357,                0.05557,                0.02697,                 3.2909,                 3.3511,                 3.4474,             0.00070922,             0.00070922,             0.00070922
                    113,                 2.7211,                 2.3692,                 3.0168,                0.47836,                0.05357,                0.05557,                0.02697,                 3.2909,                 3.3511,                 3.4474,             0.00070742,             0.00070742,             0.00070742
                    114,                 2.8312,                 2.5474,                  3.314,                0.47836,                0.05357,                0.05557,                0.02697,                 3.2909,                 3.3511,                 3.4474,             0.00070562,             0.00070562,             0.00070562
                    115,                 2.8753,                 2.0661,                 2.9235,                0.47836,                0.05357,                0.05557,                0.02697,                 3.2909,                 3.3511,                 3.4474,             0.00070382,             0.00070382,             0.00070382
                    116,                 2.8175,                 2.5297,                 3.1426,                 0.4874,                0.08036,                0.06206,                0.02289,                 2.9691,                 2.9434,                 3.2396,             0.00070202,             0.00070202,             0.00070202
                    117,                 2.6922,                 2.2032,                 3.0211,                 0.4874,                0.08036,                0.06206,                0.02289,                 2.9691,                 2.9434,                 3.2396,             0.00070022,             0.00070022,             0.00070022
                    118,                 2.5257,                 2.3192,                 2.9859,                 0.4874,                0.08036,                0.06206,                0.02289,                 2.9691,                 2.9434,                 3.2396,             0.00069842,             0.00069842,             0.00069842
                    119,                 2.6435,                 2.1568,                 2.9347,                 0.4874,                0.08036,                0.06206,                0.02289,                 2.9691,                 2.9434,                 3.2396,             0.00069662,             0.00069662,             0.00069662
                    120,                 2.6113,                 2.1859,                 2.7754,                0.38646,                0.16527,                0.10865,                0.04231,                 2.6867,                 2.6504,                 3.4014,             0.00069482,             0.00069482,             0.00069482
